Column1;Column2;Column3;Column4
Mineral Name;IMA Chemistry;Chemistry Elements;Crystal Systems
Abellaite;NaPb2+2(CO3)2(OH);Na Pb C O H;hexagonal
Abelloemringerite;Cu2+2Pb2+2Mn3+Mn4+3O11(OH)(H2O)2·H2O;Cu Pb Mn O H;orthorhombic
Abelsonite;Ni2+C31H32N4;Ni C H N;triclinic
Abenakiite-(Ce);Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O;Na Ce Si O P C S;hexagonal
Abernathyite;K(U6+O2)As5+O4·3H2O;K U O As H;tetragonal
Abhurite;Sn2+21O6(OH)14Cl16;Sn O H Cl;hexagonal
Abramovite;Pb2+2Sn4+In3+Bi3+S2-7;Pb Sn In Bi S;triclinic
Abswurmbachite;Cu2+Mn3+6O8(SiO4);Cu Mn O Si;tetragonal
Abuite;CaAl2(PO4)2F2;Ca Al P O F;orthorhombic
Acanthite;Ag1+2S2-;Ag S;monoclinic
Acetamide;CH3CONH2;C H O N;hexagonal
Achalaite;Fe2+Ti4+Nb5+2O8;Fe Ti Nb O;monoclinic
Ach?valite;FeSe;Fe Se;hexagonal
Achyrophanite;(K,Na)3(Fe3+,Ti4+,Al,Mg)5O2(As5+O4)5;K Na Fe Ti Al Mg O As;orthorhombic
Acmonidesite;(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8;N H K Pb Na Fe S O Cl;orthorhombic
Actinolite;Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2;Ca Mg Fe Si O H;monoclinic
Acuminite;SrAlF4(OH)·H2O;Sr Al F O H;monoclinic
Adachiite;CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH);Ca Fe Al Si O B H;hexagonal
Adamite;Zn2+2As5+O4(OH);Zn As O H;orthorhombic
Adamsite-(Y);NaY(CO3)2·6H2O;Na Y C O H;triclinic
Adanite;Pb2+2(Te4+O3)(S6+O4);Pb Te O S;monoclinic
Addibischoffite;Ca2Al6Al6O20;Ca Al O;triclinic
Adelite;CaMgAs5+O4(OH);Ca Mg As O H;orthorhombic
Admontite;MgB6O10·7H2O;Mg B O H;monoclinic
Adolfpateraite;K(U6+O2)(S6+O4)(OH)(H2O);K U O S H;monoclinic
Adranosite;(N3-H4)4NaAl2(S6+O4)4Cl(OH)2;N H Na Al S O Cl;tetragonal
Adranosite-(Fe);(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2;N H Na Fe S O Cl;tetragonal
Adrianite;Ca12(Al4Mg3Si7)O32Cl6;Ca Al Mg Si O Cl;cubic
Aegirine;NaFe3+Si2O6;Na Fe Si O;monoclinic
Aegirine-augite;(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6;Ca Na Fe Mg Si O;monoclinic
Aenigmatite;Na4(Fe2+10Ti4+2)O4[Si12O36];Na Fe Ti O Si;triclinic
Aerinite;(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O;Ca Na Fe Mg Al Si O H C;hexagonal
Aerugite;Ni2+8.5(As5+O4)2As5+O8;Ni As O;hexagonal
Aeschynite-(Ce);Ce3+(Ti4+Nb5+)O6;Ce Ti Nb O;orthorhombic
Aeschynite-(Nd);Nd(Ti4+Nb5+)O6;Nd Ti Nb O;orthorhombic
Aeschynite-(Y);Y(Ti4+Nb5+)O6;Y Ti Nb O;orthorhombic
Afghanite;(Na,K)22Ca10(Si24Al24)O96(S6+O4)6Cl6;Na K Ca Si Al O S Cl;hexagonal
Afmite;Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O;Al O H P;triclinic
